article,reason,comment
Ice Water Inc.,copyright,"content was: '{{copyvio|url=''http://www.wu-international.com/Killabeez/wukillabeez1_M.htm''}}[[User:Tobycat|Tobycat]] 20:00, 9 July 2005 (UTC){{cleanup}}'''Ice ...'"
Federation of Astronomical Societies,copyright,content was: '{{copyvio|url=http://www.fedastro.org.uk/xinfo.html}}'
St. John's College High School,copyright,Closing VfD.  Delete this copyvio to make way for rewrite
Tirumoolar,copyright,content was: '{{copyvio|url=http://www.geocities.com/profvk/gohitvip/tirumoolar.html?200512}}This is my own website and I am the author of this article on the webs...'
"Sir Charles Seely, 1st Baronet",copyright,content was: '{{copyvio|url=Burke's Peerage and Baronetage 107th Edition Volume III}}'
Laichzeit,copyright,"content was: '{{vfd}}{{copyvio|url=the lyrics, copyright 1995, of the song by [[Rammstein]]}}'"
Buck-Tick,copyright,content was: '{{copyvio|url=http://www.calavera.com/btzone/history.html}}'
Joey Jordison,copyright,"content was: '{{copyvio|url=http://www.joey-jordison.co.uk/v3.0/biography.html}}--[[User:TheParanoidOne|TheParanoidOne]] 21:16, 13 July 2005 (UTC)'"
Roger Pilon,copyright,"content was: '{{Copyvio|url=http://www.cato.org/people/pilon.html}}[[User:Willmcw|Willmcw]] 17:12, July 20, 2005 (UTC)'"
Tutti Frutti (song),copyright,copyvio
Ammar ibn Yasir,copyright,content was: '{{copyvio|url=http://www.geocities.com/Tokyo/Spa/7220/ammar.html and http://al-islam.org/restatement/71.htm}}'
ClickOnce,copyright,"content was: '{{copyvio|url=''http://msdn.microsoft.com/smartclient/understanding/windowsforms/2.0/features/clickonce.aspx''}}[[User:Vneiomazza|Vneiomazza]] 11:39, ...'"
Midland Red,copyright,content was: '{{copyvio|url=''http://www.wheels.co.uk/midland-red/midland-red.htm''}}'
Sphaera Mundi,copyright,"delete due to copyright/attribution dispute over the article, and because the content is poorly researched information that pertains only to one edition of the book, rather than the book itself"
Lake Forest Academy,copyright,"restored because forgot to check history, but nope, all copyvio."
Hiroshige,copyright,delete copyvio to make room for new article
