article,reason,comment
William Balfour Baikie,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]]
Children's Mercy Hospital,copyright,"This item appears to be a copyright infringement of http://www.childrensmercy.org/Content/view.aspx?id=1744, and no assertion of permission has been made. (CSD G12)"
Alec Reeves,copyright,[[WP:CSD#G12|CSD G12]]: Copyright violation: content was: '{{copyvio|http://www.radarpages.co.uk/people/reeves/reeves1.htm}} '''Alec Harley Reeves''' ([[10 March]] [[1902]] - [[13 October]] [[1971]]) was a  British scientist best known for his invention o
Lunascape (web browser),copyright,"[[WP:CSD#G12|CSD G12]]: Copyright violation: also advert (G11), notability of web content (A7)"
Kou Ohtani,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copy & paste move. Will restore redirect without copyvio
Brasenose College Boat Club,copyright,"[[Wikipedia:Copyright_problems#November_20.2C_2007]], all revisions contain copyvio"
Bulverhythe,copyright,purge copyvio
Mesut Kurtis,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant copyright infringement]]: content was: '{{csb-pageincludes|1=http://soufisound.homestead.com/artist_mesutkurtis.html}}  {{Infobox Celebrity | name        = Mesut Kurtis | image       = Mesut-kurtis.jpg | birth_date
Apollo Victoria Theatre,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]]
Féile na nGael,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|copyright infringement]]
Bubona,copyright,make room for non-copyvio version
Little Angel Theatre,copyright,content was: '{{db-copyvio|url=http://www.littleangeltheatre.com/history.htm}} {{Cleanup|date=January 2008}} {{Advert|date=January 2008}} {{Infobox Theatre |name           = Little Angel Theatre |image          =  |caption        =  |address        = ...'
SeaSeep,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant copyright infringement]]
Monika Hellwig,copyright,[[WP:CSD#G12|CSD G12]] - unquestionably a copyvio of http://www.washingtonpost.com/wp-dyn/content/article/2005/10/05/AR2005100502300.html
Ken Strong,copyright,copyvio of http://www.profootballhof.com/hof/member.jsp?PLAYER_ID=206 :(
Baykalsko,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant copyright infringement]]
Gippy grewal,copyright,"Speedy deleted per ([[WP:CSD#G12|CSD G12]]), was a blatant copyright infringement."
Vienna (album),copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Glenn Phillips,copyright,"speedy G12, copied from http://www.angelfire.com/ga2/glennphillips/about.html"
Viktor Bauer,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Marathon dancing,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: copyvio from 2004 http://www.wunderland.com/WTS/Renee/DanceMarathons.html
3DSlicer,copyright,"Speedy deleted per ([[WP:CSD#G12|CSD G12]]), was a blatant copyright infringement. using [[WP:TWINKLE|TW]]"
Osteopathic family physicians,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Hans Götz,copyright,"copyvio, listed at [[Wikipedia:Copyright problems]] for more then seven days"
Jacob Ellehammer,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.allstar.fiu.edu/aero/ellehammer.htm
Mines Advisory Group,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: Content was copied from http://www.mag.org.uk/page.php?p=606
Harold LeVander,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Loyola Marymount Lions,copyright,"copyright infringement (all versions) of http://lmulions.cstv.com/trads/loyo-history.html and its subpages, without assertion of permission"
Herbert Bachnick,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: Per [[Wikipedia:Copyright_problems/2008_February_13/Articles]] deleting to make room for clean copy
Shah Abdul Hannan,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.islam-bd.org/Personalities/SAHannan/hannan_home.html
Pir Mazhar Ul Haq,copyright,"Deleting page - reason was: ""Copyright violation from http://67.59.144.177/daily_detail.asp?id=98164"" using [[WP:NPW|NPWatcher]]"
John A. Gilruth,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Günther Bahr,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.luftwaffe.cz/bahr.html
Günther Specht,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.luftwaffe.cz/specht.html
AFL Premiership 2007 (video game),copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: from http://au.playstation.com/games_media/games/ps2/a/afl07.jhtml
Gary and Dave,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://jam.canoe.ca/Music/Pop_Encyclopedia/G/Gary_And_Dave.html
KLM Flight 867,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://www.sciencenews.org/articles/20030913/bob8.asp without assertion of permission; will create new stub shortly
Cherry Sisters,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Malta Amateur Radio League,copyright,remove copyrighted text from http://www.9h1mrl.org/marlhistory.htm
International Search and Rescue Advisory Group,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://ochaonline.un.org/Coordination/FieldCoordinationSupportSection/INSARAG/tabid/1436/Default.aspx - page clearly copyrighted at the footer
Heinrich Höfemeier,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Ernst Düllberg,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Leland College,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: source http://www.ebr.lib.la.us/reference/ourafamlegacy/oaal_peopleandplaces/places/LelandCollege.htm
Central Lake County Joint Action Water Agency,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.clcjawa.com/p1-agency.html
The X Factour,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://www.maidenfans.com/imc/?url=tour10_xfactor/tour10_xfactor&link=tours&lang=eng without assertion of permission, all versions tainted"
Soilent Green,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://shop.relapse.com/artist/artist.aspx?ArtistID=10094
Blood Lust EP,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://misfitscentral.com/bands/rosemarys-babies.php without assertion of permission
Geomancer (comics),copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]:  of http://www.dcuguide.com/who.php?name=geomancer
Helium dating,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of http://www.britannica.com/eb/article-9039896/helium-dating without assertion of permission
Darren Dutchyshen,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.tsn.ca/tsn_talent/bio/?fid=68
Atlanta Contemporary Art Center,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
Terry de la Mesa Allen (Major General),copyright,"serious copyright infringement of http://www.time.com/time/printout/0,8816,766919,00.html and http://www.104infdiv.org/ALLEN.HTM with no permission and no untainted versions in history; will create new stub"
Picture This (2008 film),copyright,[[WP:CP]] for 7 days; will undelete non-copyvio revisions
Just cause eviction controls,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.policylink.org/EDTK/JustCause
BloodStorm,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.gamefaqs.com/coinop/arcade/file/583719/1220
John Paulson,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.1440wallstreet.com/index.php/site/comments/trader_monthlys_top_100_for_2007_unveiled/ ; also BLP concerns
John Morgridge,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.nature.org/pressroom/leadership/art18331.html
Asset protection,copyright,copyright infringement from http://www.incorporatedoffshore.net/assetprotection.htm without permission
"World Affairs Council of Washington, DC",copyright,"copyright infringement of https://www.worldaffairsdc.org/mission.php , no clean versions in article history"
Peter Wildeblood,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.knittingcircle.org.uk/peterwildeblood.html, no untainted versions in article history, no assertion of permission"
Martin Narey,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.howardleague.org/fileadmin/howard_league/user/pdf/community%20penalites%20conference%20synopses.pdf, no clean versions in history, no assertion of permission"
Disklavier,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: of several pages at yamaha.com, including user guides, service guides, and marketing materials without assertion of permission"
Rod Morgan,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.keele.ac.uk/marketing/press/archive/2005/kl130505.htm, no untainted versions in history, no assertion of permission"
Kenneth C. Dahlberg,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.saic.com/about/leadership/bio_dahlberg.pdf , no clean versions in article history, no assertion of permission/ownership"
Subject-oriented programming,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.research.ibm.com/sop/sopoverv.htm and http://www.research.ibm.com/sop/papers/decentralized.ps which are not GFDL licensed like [[FOLDOC]] IS
Project C.U.R.E.,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]
KLM Flight 1673,copyright,"copyright infringement of http://aviation-safety.net/database/record.php?id=20041128-1, removing tainted versions"
Herb Geller,copyright,"[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.herbgeller.com/biografie.html, no assertion of permission, no untainted versions in article history"
Mohammed Ayoob,copyright,"Accidentally restored copyvio, briefley deleting to remove again."
Matthew Quintal,copyright,lose the copyvio edits
High Speed Flight RAF,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: Removing to make room for ostensibly copyright-free one
Rippavilla Plantation,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: http://www.rippavilla.org/main.asp
L. Ron Hubbard bibliography,copyright,[[WP:CSD#G12|CSD G12]]: [[WP:C|Blatant Copyright infringement]]
De-alerting,copyright,[[WP:CSD#G12|G12]]: [[WP:C|Blatant copyright infringement]]: [[Wikipedia:Copyright violations|Copyright violation]] of http://www.wagingpeace.org/articles/2007/11/29_starr_explanation_terminology.php ([[WP:CSD#G12|CSD G12]])
Blue Bonnet (brand),copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: word for word copy of [http://www.conagrafoods.com/consumer/brands/getBrand.do?page=blue_bonnet  ConAgra website]
Toronto Business Development Centre,copyright,[[WP:CSD#G11|G11]]: Blatant [[WP:ADS|advertising]]: Also copyright infringement in the intro
Austal,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: http://www.austal.com/go/about-austal/the-austal-story
Tierra Redonda Mountain,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: will restore some content shortly
Brienne-le-Château,copyright,Unaddressed [[WP:C|copyright]]. ([[Wikipedia:Copyright problems/2008 July 15/Articles]])
Pirot,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: a lot of the article was copied from http://www.pirot.pi.co.yu/
Abu Firas al-Hamdani,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Knightly Order of Vitéz,copyright,"Copy & paste of [[Vitéz]]. Could not be merged back, as the basis contained substantial copyvio."
World Policy Institute,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copyvio in history. imminent restoration.
Aale Tynni,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copyvio in history. imminent restoration.
Rand Steiger,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: from http://zsearch.org/faculty.html#rs
Iowa Central Community College,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: all revisions affected
Fajr Aviation & Composites Industry,copyright,Expunging copyvio version from page history
Boblins,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copyvio in history. imminent restoration.
Alabama Great Southern Railroad,copyright,"Speedy deleted per ([[WP:CSD#G12|CSD G12]]), was a blatant copyright infringement. using [[WP:TW|TW]]"
The Varangian Way,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Philadelphia City Treasurer,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copyvio in history. imminent restoration.
Zombie Honeymoon,copyright,"Speedy deleted per ([[WP:CSD#G12|CSD G12]]), was a blatant copyright infringement. using [[WP:TWINKLE|TW]]"
Lydia Thompson,copyright,"[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: Not quite so blatant, but enough congruity to cause concern - revised article will replace this page"
AnyLogic,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Cornelius L. Reid,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Sonny (film),copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Kill Switch (film),copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: http://www.imdb.com/title/tt1107859/synopsis
Frano Botica,copyright,"Speedy deleted per ([[WP:CSD#G12|CSD G12]]), was a blatant copyright infringement. using [[WP:TW|TW]]"
Indian Institute of Technology Gandhinagar,copyright,[[WP:CSD#G6|CSD G6]]: Housekeeping. Copyvio in history. imminent restoration.
Christina Marie Riggs,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Max Wünsche,copyright,article is a copyvio of http://home.att.net/~SSPzHJ/MaxWunsche.html which has existed since 1999; all versions contain this text
Loudon Park Cemetery,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: http://www.ci.baltimore.md.us/neighborhoods/southwest/irvington.html
Tournier v National Provincial and Union Bank of England,copyright,Copyright. [[Wikipedia:Copyright problems/2008 November 20]]
Ambien CR,copyright,"Speedy deleted per [[WP:CSD#G12|CSD G12]], was a blatant copyright infringement. using [[WP:TW|TW]]"
Harmony School,copyright,Copyright. Unverified permission. [[Wikipedia:Copyright problems/2008 November 13]]
The International School of Macao,copyright,Copyright. [[Wikipedia:Copyright problems/2008 November 22]]
Roland Melanson,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Cal Gardner,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Dave Gatherum,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Doug Soetaert,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Gary Leeman,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Mark Lamb,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Alex Levinsky,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Phil Watson,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Milt Halliday,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Wilbert Hiller,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Gerry Ehman,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Rudolph Kampman,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Al Dewsbury,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Peter Taglianetti,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Ken Priestlay,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Hugh Bolton,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Ernie Dickens,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Joe Carveth,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Mike Walton,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Gus Mortson,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Mike Needham,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Jack Portland,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Jack Shewchuk,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Hans Vogt (composer),copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: copied from Grove
Metairie Park Country Day School,copyright,Copyright. [[Wikipedia:Copyright problems/2008 November 27]]
Fort Franklin,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]: http://pwnhc.learnnet.nt.ca/exhibits/nv/deline.htm
James Wharton,copyright,[[WP:AFD|AFD]] & [[Wikipedia:Copyright problems/2008 December 7]]
Indian animation,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Rolling forecast,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: See [[Wikipedia:Copyright problems/2009 January 2]]
Riot (novel),copyright,"Copyright infringement, see http://www.centerforworkingclassstudies.org/uploads/Documents/2001PrcdsH-O.html"
Peter Beets,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://www.peterbeets.nl/index.php?pagina=30
Edmund F. Dunne,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: 2009-01-08
Niva international school,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]
Jason Roks,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: 2009-01-13
Hassan al-Hakim,copyright,"[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;Copyvio of Commins, David Dean. Historical Dictionary of Syria, p. 119. Scarecrow Press, 2004, ISBN 0810849348."
The Fraud of Feminism,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://emasculationofamerica.com
Jess H. Dickinson,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://www.mssc.state.ms.us/appellate_courts/sc/bios/justicedickinson.html
H. Terry Parker,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;[[Wikipedia:Copyright problems/2009 February 6]]
Impressionism (play),copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://www.telecharge.com/showprod/7204/mode/allShowInfo/BehindTheCurtain.aspx
Bombardier Capital,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 February 14]]
Center on Wisconsin Strategy,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://www.cows.org/
Lotus Foundations,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;from http://www-03.ibm.com/press/us/en/pressrelease/24826.wss ; violates IBM's terms of usage as well
Anil Manibhai Naik,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;http://dbpedia.org/resource/A._M._Naik
Robert Mecklenberg,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]] of http://www.house.state.oh.us/index.php?option=com_displaymembers&task=detail&district=30
Multilinear polynomial,copyright,Purging copyvio revisions
Cope India '04,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 February 24]]
Marching Thunder,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 March 5]]
San Diego Academy,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 March 7]]
San Fernando General Hospital,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;http://www.swrha.co.tt/sanfernando.htm
Ruhani Satsang,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 March 12]]
Lutz-Jeanselme syndrome,copyright,[[WP:CSD#G12|G12]]: Blatant [[WP:C|copyright infringement]]:&#32;Copy of http://www.whonamedit.com/synd.cfm/1600.html
Iamwarm,copyright,Deleting copyvio revisions
Berkeley Center for New Media,copyright,Blatant [[WP:C|copyright infringement]] of http://bcnm.berkeley.edu/about ([[WP:CSD#G12|CSD G12]])
Deema Shehabi,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history.
Lisa Suhair Majaj,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history.
Thomas Lenthal,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;unverified permission
Peter Elleray,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;See [[Wikipedia:Copyright problems/2009 April 8]]
ICODA,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.icodaarts.org/theatre.html
Outflow channels,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.msss.com/http/ps/channels/channels.html
Nayer Nagui,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]
Turkish Studies Association,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.thetsa.org
Polygonia faunus,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history; imminent return
Latur Municipal Council,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]
East Bay Bicycle Coalition,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]
179th Street Tunnel,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history; imminent return
Battle of Fajardo,copyright,"Plagarism, copyright vio"
Battle of Guanica,copyright,"Plagarism, copyright vio"
Glencree Centre for Peace and Reconciliation,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history; imminent return
Social reconstructionism,copyright,Unambiguous [[WP:C|copyright infringement]] of http://oregonstate.edu/instruct/ed416/PP3.html ([[WP:CSD#G12|CSD G12]])
Mississippi School for the Deaf,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history
"Tougaloo, Mississippi",copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;text pasted from http://www.tougaloo.edu/content/History/index.htm; deleting copyvio
Al-Rashid Mosque,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]:&#32;see talk page
Batu Hijau mine,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;see [[Wikipedia:Copyright problems/2009 May 31]]
Dionisio D. Martinez,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history; imminent return
Kingston Law School,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days:&#32;see [[Wikipedia:Copyright problems/2009 June 6]]
San Francisco crime family,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://www.americanmafia.com/Cities/San_Francisco.html
Cornell University Esbaran Amazon Field Laboratory,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: to remove copyright violation history and create redirect
Karakura,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: prior to creating redirect
Christian Lealiifano,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean history
Sitaleki Timani,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean copyvio
Nic Henderson,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean
John Ulugia,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean
Julian Salvi,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to clean
Marjorie Cameron,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to move clean version
"Holy Sepulchre Cemetery (Coram, New York)",copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days: prepare to move rewritten copy from temp
Rule of the Major-Generals,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: The British Civil War website licence is incompatable with the Wikipedia one due to commercial restrictions
John Barkstead,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: incompatable copyleft
Isaac Ewer,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: The text that started this article was copied from a site which does not have a compatible copy left licence
Humphrey Edwards,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: incompatable copyleft licence
Trillium Charter School,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]] of http://trilliumcharterschool.org/
Augustine Garland,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: copyleft problem see talk page
Francis Hacker,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: copyleft problems see talk page
Charles Worsley,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: not compatible with the copyleft licence used
William Walwyn,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: the copyleft licence was not compatible with Wikipedia's licence
Mary May Simon,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]
Rafael Ben-Ari,copyright,"[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: most of this article is copyvio, I will remove all previous edits and recreate with the seemingly only non-copyvio text put back in"
Valentine Walton,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: copyleft problem see talk page
Robert Wallop,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: copyleft problem see talk page
Retail Distribution Review,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days
Stefania Craxi,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: prepare for recreation w/o copyvio
Taunton Flower Show,copyright,[[WP:CSD#G12|G12]]: Unambiguous [[WP:C|copyright infringement]]: prepare to restore w/o copyvio
"Bela, Auraiya",copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history; imminent return
Harchandpur,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history; imminent return
Airwa,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history; imminent return
Barauna Kalan,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history; imminent return
Bhareh,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history; imminent return
Kudarkot,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup: copyvio in history
